number;Family;Genus;species;sci_name;variant;sugar_concentration;type;europe;north_america;south_america;africa;asia;australia;reference;notes;;;
1;Rosaceae;Malus;domestica;Malus sp.;NA;42;crop;yes;yes;yes;yes;yes;yes;Butler, C. G. (1945). The influence of various physical and biological factors of the environment on honeybee activity. An examination of the relationship between activity and nectar concentration and abundance. Journal of Experimental Biology, 21(1-2), 5-12.;;;;
2;Brassicacae;Raphanus;raphanistrum;Raphanus raphanistrum;NA;40;weed;yes;yes;yes;yes;yes;yes;Butler, C. G. (1945). The influence of various physical and biological factors of the environment on honeybee activity. An examination of the relationship between activity and nectar concentration and abundance. Journal of Experimental Biology, 21(1-2), 5-12.;;;;
3;Brassicacae;Brassica;sp;Brassica sp;NA;39;crop;yes;yes;yes;yes;yes;yes;Butler, C. G. (1945). The influence of various physical and biological factors of the environment on honeybee activity. An examination of the relationship between activity and nectar concentration and abundance. Journal of Experimental Biology, 21(1-2), 5-12.;;;;
4;Rosaceae;Rubus;idaeus;Rubus idaeus;NA;37;crop;yes;yes;yes;yes;yes;yes;Butler, C. G. (1945). The influence of various physical and biological factors of the environment on honeybee activity. An examination of the relationship between activity and nectar concentration and abundance. Journal of Experimental Biology, 21(1-2), 5-12.;;;;
5;Asteraceae;Taraxacum;sp.;Taraxacum sp.;NA;34;weed;yes;yes;yes;yes;yes;yes;Butler, C. G. (1945). The influence of various physical and biological factors of the environment on honeybee activity. An examination of the relationship between activity and nectar concentration and abundance. Journal of Experimental Biology, 21(1-2), 5-12.;;;;
6;Fabaceae;Onobrychis;viciiaefolia;Onobrychis viciiaefolia;NA;34;crop;yes;yes;NA;NA;yes;yes;Butler, C. G. (1945). The influence of various physical and biological factors of the environment on honeybee activity. An examination of the relationship between activity and nectar concentration and abundance. Journal of Experimental Biology, 21(1-2), 5-12.;;;;
7;Rosaceae;Prunus;cerasus;Prunus cerasus;NA;33;crop;yes;yes;yes;NA;yes;yes;Butler, C. G. (1945). The influence of various physical and biological factors of the environment on honeybee activity. An examination of the relationship between activity and nectar concentration and abundance. Journal of Experimental Biology, 21(1-2), 5-12.;;;;
8;Malvaceae;Tilia;platyphyllos;Tilia platyphyllos;NA;31;wild;yes;yes;yes;NA;yes;yes;Butler, C. G. (1945). The influence of various physical and biological factors of the environment on honeybee activity. An examination of the relationship between activity and nectar concentration and abundance. Journal of Experimental Biology, 21(1-2), 5-12.;;;;
9;Fabaceae;Trifolium;repens;Trifolium repens;NA;30;crop;yes;yes;yes;yes;yes;yes;Butler, C. G. (1945). The influence of various physical and biological factors of the environment on honeybee activity. An examination of the relationship between activity and nectar concentration and abundance. Journal of Experimental Biology, 21(1-2), 5-12.;;;;
10;Rosaceae;Rubus;fructicosus;Rubus fructicosus;NA;28;crop;yes;yes;yes;yes;yes;yes;Butler, C. G. (1945). The influence of various physical and biological factors of the environment on honeybee activity. An examination of the relationship between activity and nectar concentration and abundance. Journal of Experimental Biology, 21(1-2), 5-12.;;;;
11;Fabaceae;Lotus;corniculatus;Lotus corniculatus;NA;26;weed;yes;yes;yes;NA;yes;yes;Butler, C. G. (1945). The influence of various physical and biological factors of the environment on honeybee activity. An examination of the relationship between activity and nectar concentration and abundance. Journal of Experimental Biology, 21(1-2), 5-12.;;;;
12;Grossulariaceae;Ribes;nigrum;Ribes nigrum;NA;25;crop;yes;yes;NA;NA;yes;yes;Butler, C. G. (1945). The influence of various physical and biological factors of the environment on honeybee activity. An examination of the relationship between activity and nectar concentration and abundance. Journal of Experimental Biology, 21(1-2), 5-12.;;;;
13;Rosaceae;Prunus;sp.;Prunus sp.;NA;21;crop;NA;NA;NA;NA;NA;NA;Butler, C. G. (1945). The influence of various physical and biological factors of the environment on honeybee activity. An examination of the relationship between activity and nectar concentration and abundance. Journal of Experimental Biology, 21(1-2), 5-12.;;;;
14;Rosaceae;Pyrus;communis;Pyrus communis;NA;15;crop;yes;yes;yes;yes;yes;yes;Butler, C. G. (1945). The influence of various physical and biological factors of the environment on honeybee activity. An examination of the relationship between activity and nectar concentration and abundance. Journal of Experimental Biology, 21(1-2), 5-12.;;;;
15;Rosaceae;Crataegus;oxyacantha;Crataegus oxyacantha;NA;13;wild;yes;yes;NA;NA;NA;yes;Butler, C. G. (1945). The influence of various physical and biological factors of the environment on honeybee activity. An examination of the relationship between activity and nectar concentration and abundance. Journal of Experimental Biology, 21(1-2), 5-12.;;;;
16;Alstroemeriaceae;Alstroemeria;aurea;Alstroemeria aurea;NA;40;wild;yes;yes;yes;NA;NA;yes;Chalcoff, V. R., Aizen, M. A., & Galetto, L. (2005). Nectar concentration and composition of 26 species from the temperate forest of South America. Annals of Botany, 97(3), 413-421.;;;;
